"Daenerys has the classical Valyrian look; She has violet eyes, pale skin, and long, pale silver-gold hair.",[0]
"Daenerys is slender of frame, with small breasts.",[0]
"Beside the Common Tongue, Daenerys speaks the bastard Valyrian of the Free Cities with a Tyroshi accent, and High Valyrian.",[0]
Daenerys grew up terrified of and abused by her brother Viserys.,[0]
Her followers generally regard her with great respect and love.,[0]
"The house with the red door in Braavos, where she lived until she was about five years old, has come to symbolize her lost childhood.",[0]
"She believes that the Iron Throne is her by rights, as Viserys's heir, and that ruling the Seven Kingdoms is her duty.",[0]
"Daenerys sometimes dresses in Dothraki garb; a painted vest and riding leathers, while going about barefoot, with her hair oiled and her skin sun-browned.",[0]
"She often wears silver bells in her braided hair per Dothraki custom, one for each of her victories.",[0]
"Daenerys is the youngest child of King Aerys II Targaryen and his sister-wife, Queen Rhaella.",[0]
"Daenerys was born nine months after their flight, while a great storm raged above Dragonstone, sinking what remained of the Targaryen fleet; for this reason she is known as 'Daenerys Stormborn'.",[0]
"Her mother died in labor, but not before naming her.",[0]
Daenerys received the title 'Princess of Dragonstone' as Viserys's heir.,[0]
"Ser Willem Darry and several other loyal retainers took the children from the nursery and smuggled them into exile, sailing to the Braavosian coast.",[0]
"Viserys and Daenerys lived in Braavos in a house with a red door, where Daenerys had her own room, and a lemon tree underneath her window.",[0]
"After Willem's death, the servants he had hired stole all they could. The young Targaryens were put out of the house a while after.",[0]
"Selling their mother's crown took the last of Viserys's joy, leaving only rage.",[0]
"Because Viserys often told her that their line must be 'kept pure', Daenerys grew up believing that she would marry him once she came of age.",[0]
"In 297 AC, Viserys and Daenerys were taken in by Illyrio Mopatis, a magister of the Free City of Pentos, who offered his help in reclaiming the Iron Throne for Viserys.",[0]
House Targaryen's words are Fire and Blood.,[0]
"Their sigil is a three-headed dragon breathing flames, red on black. The three-headed dragon represents Aegon the Conqueror and his two sisters, Rhaenys and Visenya.",[0]
"Prince Aerion Targaryen changed the colors of the three heads—one orange, one yellow, one red—while the flames they breathed had a sheen of gold leaf.",[0]
Prince Rhaegar Targaryen had the three-headed dragon wrought in rubies on his black breast plate.,[0]
"Their earlier seat of Dragonstone remained in their possession as well. It eventually became the traditional seat of the heir-apparent to the throne, who was known as the Prince of Dragonstone (or Princess of Dragonstone, in a few occasions).",[0]
"House Targaryen historically followed the old gods of Valyria, but sometime before Aegon's Conquest the family abandoned the Valyrian gods and converted to the Faith of the Seven, the predominant religion in Westeros.",[0]
"Deceased Targaryens are traditionally cremated, a custom since the days of Old Valyria.",[0]
"The ashes of many of the dead of House Targaryen have been interred on Dragonstone, including those of King Aegon I.",[0]
The Targaryens were the only dragonriders of Valyria to survive.,[0]
"In the century that followed, four of the five dragons of House Targaryen died, with only Balerion surviving. Two more dragons, Vhagar and Meraxes, were hatched from eggs on Dragonstone.",[0]
"When Aegon III Targaryen died in 157 AC from consumption, he was succeeded by his eldest son, Daeron I Targaryen, born to him by his second wife, Queen Daenaera Velaryon. Though Daeron was only fourteen years of age, his uncle, Prince Viserys, decided not to insist on a regency, and continued to serve his new king as Hand.",[0]
"Daeron I had great ambition, and wished to ""complete the conquest"" which his ancestor Aegon I Targaryen had begun a century and a half before. Daeron I managed to convince his councilors of his plans, and managed to conquer Dorne within a year.",[0]
"However, Daeron's conquest did not last. The smallfolk rebelled, and though Lord Tyrell attempted to fight back, traveling from holdfast to holdfast, the rebels always struck back. After he was murdered in his bed at Sandstone, all of Dorne rose in open rebellion, and they managed to liberate themselves within a fortnight.",[0]
"Though in King's Landing Prince Viserys argued for the execution of the Dornish hostages, the new King Baelor I decided to free them instead. He walked barefoot from King's Landing to Sunspear, escorting the hostages home, and met with the Prince of Dorne.",[0]
"When he finally returned to King's Landing, Baelor convinced the High Septon to dissolve his marriage to his sister, Daena, whom he had wed in 160 AC, as it had never been consummated. He then locked Daena and her sisters Rhaena and Elaena in the Maidenvault, to ""preserve their innocence"".",[0]
"Baelor was found collapsed on the forty-first day, and died soon after, in 171 AC.",[0]
"Viserys II was succeeded by his eldest son, Aegon IV, who was rumored to have had a hand in his father's death.",[0]
"Aegon openly recognized his cousin Daena's son, Daemon Waters, as his own son and gifted him the Valyrian steel sword Blackfyre. Aegon's public gift of the sword to his bastard son was one of the seeds from which the First Blackfyre Rebellion would eventually grow.",[0]
"The First Blackfyre Rebellion began in early 196 AC and lasted nigh on a year, ending late in the year with the Battle of the Redgrass Field. Daemon and his two eldest sons, Aegon and Aemon Blackfyre, were killed, whereas Aegor Rivers, another one of Daeron II's half-brothers, fled into exile with Daemon's remaining children and the sword Blackfyre.",[0]
"He felt forced to arrest Brynden Rivers, who had served both Maekar I and Aerys I as Hand, after Brynden, who had offered safe passage to Aenys Blackfyre, the fifth son of the late Daemon I Blackfyre, from Tyrosh to King's Landing, so Aenys could present his own claim during the Great Council, betrayed Aenys by arresting and executing him upon arrival.",[0]
"Aegon spend much of his reign in battle. When winter ended in 236 AC, Daemon III Blackfyre and Aegor Rivers crossed the narrow sea to begin the Fourth Blackfyre Rebellion.",[0]
"Further opposition came from the lords of Aegon V's realm, as many disagreed with his policies, or distrusted and hated him, as they felt that his wanderings with the hedge knight Duncan had left him ""half a peasant"".",[0]
"A major rebellion in 239 AC was caused by Aegon's eldest son. When Duncan, in 239 AC, broke his betrothal to a daughter of Lord Lyonel Baratheon to marry Jenny of Oldstones, going as far as to renounce his rights to the throne for her, Lord Lyonel declared the independence of the Stormlands in response.",[0]
"Towards the end of his reign, Aegon V began to dream of dragons with whom he could bend the lords of Westeros to his will. However, in a great tragedy occurred, causing the death of Aegon V, Prince Duncan, and many more.",[0]
"Aegon V's second son Jaehaerys II Targaryen ascended the throne in 259 AC following the Tragedy of Summerhall, and was immediately faced with a threat from the east when the Band of Nine conquered first Tyrosh and then the Stepstones.",[0]
Aerys's acts triggered a chain of events that would become known as the War of the Usurper to Targaryen loyalists and Robert's Rebellion to those who fought on the rebel side.,[0]
"Following two hundred and eighty-three years of rule, the Targaryen dynasty ended in 283 AC with the death of Aerys II and the exile of his young son Viserys.",[0]
"Across the narrow sea, the Aerys II Targaryen's surviving son is claiming legitimacy as 'Viserys III'.",[0]
"With Illyrio's help, Viserys betroths his thirteen-year-old sister Daenerys to Drogo, a khal of the Dothraki, in exchange for the promise of warriors to reclaim his throne.",[0]
"During this time, Daenerys begins to learn to stand up to her brother, while Viserys's behavior leads to him being mocked by the other Dothraki.",[0]
"Viserys is killed by Drogo after threatening the lives of Daenerys and her unborn child with a sword, despite weapons being forbidden in the sacred city.",[0]
"After Daenerys escapes an assassination attempt by poison, Drogo vows to invade the Seven Kingdoms.",[0]
"When Drogo is injured in battle against another khalasar, Daenerys has one of her newly acquired slaves, Mirri Maz Duur, see to his wounds, but Drogo's wound infects nonetheless.",[0]
"Daenerys attempts to save his life by having Mirri perform blood magic, but this causes disagreement among the warriors in Drogo's khalasar, and ensues in fighting. Daenerys goes into labor and eventually wakes to find her child was stillborn and deformed, Drogo's khalasar broken up, and Drogo himself an empty shell of the man he once was.",[0]
"She places her three dragon eggs on Drogo's funeral pyre, as well as Mirri. When the fire is burning, Daenerys enters the pyre herself, and when the flames have died out the next morning is found unharmed, with three newly-hatched dragons in her arms.",[0]
"At the Wall in Westeros, the hundred-year-old Maester Aemon, brother to the late King Aegon V, still resides at Castle Black. Aemon intervenes when a new recruit, Jon Snow, asks for his help with a fellow recruit, Samwell Tarly, naming Sam his personal servant to prevent him from remaining in training, which would have meant his death.",[0]
"Aemon later advises Jon regarding the conflict of loyalty between family and duty to the Night's Watch, revealing he had felt such conflicting feelings himself trice, most recently when he was informed of the deaths of the last of his house.",[0]
"Daenerys has named her three dragons Drogon, Rhaegal, and Viserion, after her late husband and brothers.",[0]
"She drinks shade-of-the-evening and enters the House of the Undying, where she meets the Undying Ones after seeing many visions. The Undying Ones give her cryptic information before attempting to consume her. Drogon rescues her, setting the House of the Undying on fire.",[0]
"In Astapor, Daenerys acquires eight thousand six hundred Unsullied and five thousand boys in training.",[0]
"In Astapor, Daenerys acquires eight thousand six hundred Unsullied and five thousand boys in training.",[0]
"Believing she needs to learn how to rule before conquering Westeros, Daenerys decides to remain in Meereen and rule as its queen.",[0]
"Having discovered that Jorah Mormont had been spying on her for months for the Iron Throne and that his information had led to the poisoning attempt, Daenerys furiously gives them one chance to redeem themselves.",[0]
"Lord Commander Jon Snow, fearing that the priestess Melisandre will wish to sacrifice Aemon to R'hllor for his king's blood, orders Aemon to travel to Oldtown, accompanied by Samwell Tarly, singer Dareon, wildling Gilly, and Mance Rayder's son.",[0]
"Aemon's health deteriorates during the first part of the journey, and becomes worse once they are in Braavos.",[0]
"A resistance group of Ghiscari noblemen, the Sons of the Harpy, engage in a shadow war against her, while Yunkai resumes its slavery and starts to make alliances against her.",[0]
"Daenerys is sickened by the battles, and after a female warrior is slain by a boar decides to leave. At the same time, Belwas falls ill due to eating poisoned locusts which had been meant for Daenerys. Just as Belwas falls to his feat, Drogon returns to the city and lands in the Pit. While the public panics and attempts to flee, Daenerys rushes to Drogon's side and flies away from Meereen on his back.",[0]
"Doran Martell, Prince of Dorne, has sent his son Quentyn to Essos to find Daenerys. Having secretly made a wedding pact years before, promising the hand of his daughter Arianne in marriage to Viserys Targaryen in exchange for supporting Viserys's claim, Doran now wishes for Daenerys to fulfill the pact by marrying Quentyn.",[0]
Robert has the classic Baratheon look: black hair and bright blue eyes.,[0]
"Due to excessive feasting and drinking, Robert gained a significant amount of weight. In the nine years since, he gained at least eight stone.",[0]
"Well loved by soldiers, Robert is brave, but headstrong, rash, and impatient.",[0]
"Cersei Lannister considers her husband to be an ignorant, dumb, slow-witted, drunken brute of a man, who does not have the ruthless streak she believes a king requires.",[0]
Robert is as strong as a bull and fearless in battle. He loves the song of swords and considers poison to be a coward's weapon.,[0]
"As long as they are honest and brave, Robert can be merciful towards his defeated enemies, and he can inspire loyalty and friendship in those he spares.",[0]
The only exception are the Targaryens; his hatred for them is a madness within him.,[0]
"Robert fought with a spiked iron warhammer, crafted at Storm's End by Donal Noye.",[0]
Robert owns a black velvet doublet decorated with a crowned golden stag.,[0]
"Born in 262 AC, Robert was the first born child of Cassana Estermont and Steffon Baratheon. He was a scant year older than his brother, Stannis.",[0]
"According to Stannis, when Robert was five or six years old, the two brothers were brought to court by their father, Steffon, where they witnessed the Hand of the King, Lord Tywin Lannister, sitting on the Iron Throne and holding court.",[0]
"Robert and Stannis watched their parents' ship, Windproud, sink in a storm in Shipbreaker Bay while nearing Storm's End.",[0]
"Robert fell in love with Lyanna Stark, Eddard's younger sister. In time, Lyanna's father, Lord Rickard Stark of Winterfell, agreed to betroth her to Robert.",[0]
"Robert held a drinking contest with Ser Richard Lonmouth, and swore to unmask the mystery knight known as the Knight of the Laughing Tree, although he failed to do so.",[0]
"In 281 AC, Robert was present at the tourney at Harrenhal, where Prince Rhaegar Targaryen crowned Lyanna Stark, the queen of love and beauty, instead of his wife, Princess Elia Martell.",[0]
"The next year, Prince Rhaegar kidnapped Lyanna, which set in motion a chain of events leading to Robert's Rebellion.",[0]
"Robert led the rebel forces during the Battle of the Trident, the decisive battle near war's end.",[0]
"Robert was pleased with the deaths of Princess Elia Martell and her two children, which led to a rift between him and Eddard Stark.",[0]
"Though Robert had no wish to marry after Lyanna Stark's death, he married Lady Cersei Lannister to ensure political stability and Tywin Lannister's support.",[0]
"On their wedding night, a drunken Robert accidentally whispered, 'Lyanna' into Cersei's ear while consummating the marriage, setting a negative tone for their relationship.",[0]
"Jorah was married at a young age to a girl from House Glover as desired by his father Jeor Mormont, Lord of Bear Island.",[0]
She eventually died following her third miscarriage.,[0]
"Jeor gave up the lordship of House Mormont by joining the Night's Watch, which made Jorah the Lord of Bear Island in his own right.",[0]
He received a knighthood from King Robert I Baratheon in recognition of his bravery.,[0]
"During a tourney at Lannisport to celebrate the victory over the Greyjoy rebels, Jorah met Lynesse Hightower, and they were married at Lannisport.",[0]
"Jorah attempted to reproduce the lifestyle to which his wife was accustomed but only succeeded in driving himself into financial ruin, by lavishing her with expensive gifts, hiring a cook from Oldtown, and a harper from Lannisport.",[0]
"Desperate to pay off his debts, Jorah took part in one of the Seven Kingdoms' oldest taboos, slavery. When House Mormont's liege lord, Eddard Stark, learned that Jorah had sold poachers to a Tyroshi slaver, he condemned him to death.",[0]
"When Jorah returned to Lys, Tregar informed him that he would be enslaved for his debts, unless he gave up Lynesse and left Lys.",[0]
"While Jorah wanted to go to Braavos, Lynesse wanted a warmer home, so they fled to Lys instead.",[0]
"Daenerys's child, Rhaego, is a stillborn monstrosity.",[0]
"Jorah shouts at Daenerys when she walks into the burning pyre, which kills Mirri.",[0]
Daenerys promises him a dragon-forged Valyrian steel longsword and names him the first of her Queensguard.,[0]
"Angrily, Daenerys sends them with Belwas and twenty men into the sewers of Meereen to take the city for her.",[0]
